Portuguese,English,Audio,Tags
um,one (1),[sound:common_phrases/um.mp3],numbers
dois,two (2),[sound:common_phrases/dois.mp3],numbers
três,three (3),[sound:common_phrases/três.mp3],numbers
quatro,four (4),,numbers
cinco,five (5),,numbers
seis,six (6),,numbers
sete,seven (7),,numbers
oito,eight (8),,numbers
nove,nine (9),,numbers
dez,ten (10),,numbers
onze,eleven (11),,numbers
doze,twelve (12),,numbers
treze,thirteen (13),,numbers
quartorze,fourteen (14),,numbers
quinze,fifteen (15),,numbers
dezasseis,sixteen (16),,numbers
dezassete,seventeen (17),,numbers
dezoito,eighteen (18),,numbers
dezenove,nineteen (19),,numbers
vinte,twenty (20),,numbers
número,number,,numbers
Segunda-feira,Monday,,days_of_the_week
Terça-feira,Tuesday,,days_of_the_week
Quarta-feira,Wednesday,,days_of_the_week
Quinta-feira,Thursday,,days_of_the_week
Sexta-feira,Friday,,days_of_the_week
Sábado,Saturday,,days_of_the_week
Domingo,Sunday,,days_of_the_week
agora,now,,time
nunca,never,,time
momento,moment,,time
segundo,second,,time
minuto,minute,,time
hora,hour,,time
dia,day,,time
semana,week,,time
mês,month,,time
ano,year,,time
hoje,today,,time
amanhã,tomorrow,,time
ontem,yesterday,,time
desde,since,,time
até,until,,time
primeira,first,,time
chuva,rain,,nature
sol,sun,,nature
nuvem,cloud,,nature
árvore,tree,,nature
praia,beach,,nature
pedra,rock,,nature
ar,air,,nature
uma piada,a joke,,nature
ruído/barulho,noise,,nature
uma chamada,a call,,nature
dinheiro,money,,nature
França,France,,nature
visto,visa,,nature
ligação,a call,,nature
bacana/legal,cool,,slang
cara,dude,,slang
tipo,like,,slang
maneiro,cool,,slang
caralho,shit/fuck,,expletives
foda,fuck,,expletives
mais,more,,core_conversational_vocab
mas,but,,core_conversational_vocab
ainda,still,,core_conversational_vocab
e,and,,core_conversational_vocab
onde,where,,core_conversational_vocab
quando,when,,core_conversational_vocab
qual,which,,core_conversational_vocab
porque,why,,core_conversational_vocab
mesmo/a,the same,,core_conversational_vocab
pergunta,a question,,core_conversational_vocab
resposta,an answer,,core_conversational_vocab
talvez,maybe,,core_conversational_vocab
possivelmente,possibly,,core_conversational_vocab
quiçá,perhaps,,core_conversational_vocab
há,there is / there are,,core_conversational_vocab
náo há,there is (not) / there are (not),,core_conversational_vocab
desculpe,excuse me,,core_conversational_vocab
perdão,pardon,,core_conversational_vocab
nenhum(a),none,,core_conversational_vocab
assim,like this / so,,core_conversational_vocab
por exemplo,for example,,core_conversational_vocab
contra,against,,core_conversational_vocab
coisa,thing,,core_conversational_vocab
alguma coisa,something,,core_conversational_vocab
tudo,everything,,core_conversational_vocab
direito,right (direction),,core_conversational_vocab
esquerdo,left (direction),,core_conversational_vocab
nada,nothing,,core_conversational_vocab
só,only / alone,,core_conversational_vocab
com,with,,core_conversational_vocab
sem,without,,core_conversational_vocab
já,already,,core_conversational_vocab
